Squamous;Progenitor
CCDC141;SNORD115-2
ARNT;PFKFB2
SUFU;GSDMB
STAT5B;SLC12A2
LINC01376;LINC00533
TICAM1;SLC25A25
EGFR;LMO4
GPR87;FOXH1
KIAA1211;REG1B
SND1;TPD52
KCNH8;ANXA11
PCYT1A;KIAA1211
IARS2;ELF1
AGFG2;SLC25A42
TAF2;PXDN
R3HCC1;AIRE
LINC00498;MAEA
TNS3;RABL6
COL27A1;TNS3
DENND2C;CHURC1-FNTB
ADTRP;RSPH10B2
PLEKHS1;TBCD
CTBP2;MAGI2
ADAMTS6;CDH18
HS1BP3;ID2-AS1
LINC01119;ONECUT2
EPN1;UNC13A
RAB43;SLC43A2
EPAS1;CNNM4
AREL1;HOXA2
TNFSF18;BHLHA15
ATP8B1;RGS20
CDC42BPA;FBP1
SPIDR;CXCL5
ENAH;HDAC4
VCPKMT;HOXA1
GPR89B;SPG20-AS1
WDR59;SLFN11
PPFIBP1;NEU4
TGOLN2;SIAH3
APTR;C17orf102
PDGFA;TFAP2A
ATP10D;SPG20
TSNARE1;FN3K
SERINC5;ZNF473
LEAP2;TFAP2C
KCNMB2;MAP9
FBXL4;GPC5
SELENBP1;TSLP
GATA6;ERI3
NOSTRIN;NXPH3
IFT122;NETO2
ARHGAP18;FRY-AS1
TGFBRAP1;ZNF638
SORL1;TANC1
NT5C3A;MYO18B
SRI;
MAML3;
BRE;
IL22RA2;
THADA;
SEPT12;
CEACAM22P;
CELF1;
PCDH1;
LINC01484;
FAM177B;
GIF;
TP53INP2;
MB21D2;
SCAMP3;
LTBP1;
ACVR1;
RRP15;
MIR205HG;
C15orf57;
FUCA1;
ELF3;
LINC01495;
MED4;
EDEM1;
SMTN;
FBP1;
C4BPB;
FOXP1;
FAM83E;
BTAF1;
DDC;
TPD52L2;
UCK2;
EMP1;
KDM4C;
REG1P;
TOLLIP;
MYO1B;
RELB;
ITGB1;
ADCY10;
TMEM63A;
RHOH;
PPP1R1C;
LITAF;
CHURC1-FNTB;
LINC00483;
CFAP97;
ATP11A;
GPBAR1;
HK1;
UGT2A3;
LATS2;
PFDN1;
APOB;
FCRL5;
OR5M3;
ZNF133;
TPD52;
EFNA3;
LINC01258;
EFCAB11;
NEK3;
LNX2;
RNF145;
STK39;
SSBP3;
EFCAB2;
EEF1DP3;
ASCC1;
AFTPH;
GCOM1;
PKN2;
ELOVL6;
DLG5;
OSBPL3;
