Classical;Basal;Normal_Stroma;Activated_Stroma
ABCC3;ABCA12;A2M;ABL2
ABHD11;ABCA4;AADACL2;ACP5
ABHD2;ABCB9;ABCA6;ACPL2
ABHD3;ABHD12B;ABCA8;ACTA2
ABLIM1;ABHD7;ABCA9;ACTN1
ABP1;ACBD3;ABCB5;ACVR1
ABTB2;ACSF2;ABCC9;ADAM10
ACBD5;ACYP1;ABCG2;ADAM12
ACOT11;ADAM8;ABCG4;ADAM19
ACP6;ADAM9;ABI3BP;ADAM22
ACSL5;ADH7;ACAN;ADAMTS12
ACY3;ADM;ACTBL2;ADAMTS16
ADAM28;ADORA2B;ACTG2;ADAMTS4
ADAP1;ADSS;ADAM23;ADAMTS6
ADRBK1;AFAP1L2;ADAMTS1;ADAP2
AFTPH;AGRN;ADAMTS18;ADC
AGPAT2;AHNAK2;ADAMTS3;ADORA3
AGR2;AK2P2;ADAMTS5;AEBP1
AGR3;ALOX12P2;ADAMTS9;AFAP1
AHCYL2;ALS2CL;ADAMTSL3;AIF1
AHR;AMIGO2;ADARB1;ALOX5AP
AIFM3;AMMECR1;ADCY3;ALPK2
AIM1L;AMN1;ADCY6;AMZ1
AKR1A1;ANKLE2;ADD3;ANGPTL2
AKR1B10;ANO1;ADH1A;ANKH
AKR1C3;ANXA1;ADH1C;ANO4
AKR7A3;ANXA2;ADH5;ANTXR1
ALAS1;ANXA2P1;ADIPOQ;ANXA5
ALDH2;ANXA2P3;ADRB2;APBB2
ALDH3A1;ANXA3;AGTR1;APOB48R
ANKRD22;ANXA8L2;AIF1L;APP
ANKRD43;AP1S3;AK5;ARHGAP21
ANKS4B;AP3M2;AKAP12;ARHGAP22
ANO7;AP4M1;AKAP2;ARL15
ANO9;APLP2;AKT3;ARL4C
ANXA10;ARAP2;ALDH1A3;ARMC9
ANXA11;AREG;ALDH9A1;ARPC1B
ANXA13;ARFGEF1;AMOTL2;ARSG
ANXA4;ARHGAP23;ANGPT1;ARSI
AP1G2;ARHGAP5;ANGPT2;ASAM
AP1M2;ARHGAP8;ANGPTL1;ASAP1
APOBEC1;ARL4D;ANGPTL5;ASPN
APOL1;ARL6IP6;ANGPTL7;ATG7
AQP5;ARMC10;ANK3;ATP10A
AQP6;ARNTL2;ANKRD29;ATP6V0D2
ARFIP1;ARPC1A;ANKRD35;ATP6V1B2
ARHGAP12;ARPC4;ANKS1A;ATP7A
ARHGAP26;ASAP2;ANXA6;ATXN1
ARHGEF16;ASCC1;AOC3;AXL
ARHGEF5;ASPH;APOD;B3GNTL1
ARL14;ATL2;APOLD1;BAI2
ARL6IP1;ATP11B;AQP1;BASP1
ASPHD1;ATP6V0A4;ARHGAP10;BATF3
ASPHD2;ATP6V1C2;ARHGAP20;BDKRB1
ATAD4;ATP8B3;ARHGAP28;BEND6
ATOH1;AVL9;ARHGAP29;BGN
ATP10B;AZIN1;ARHGAP6;BHLHE40
ATP1B1;B3GALT4;ARHGEF9;BHLHE41
ATP2C2;B3GNT5;ARID5B;BLVRA
ATP7B;B4GALT5;ARL4A;BMP2K
ATP8B1;BACH1;ARMC2;BMP8A
ATP9A;BAIAP2L1;ARMCX1;BMPR2
ATP9B;BCAR3;ARMCX2;BNC2
ATPGD1;BEAN;ARMCX3;BST1
B3GALT5;BFSP1;ARNT;C10orf141
B3GNT3;BID;ARRDC3;C10orf72
B4GALNT3;BIK;ASPA;C11orf24
B4GALT4;BLZF1;ATF3;C11orf41
BACE2;BUD31;ATL1;C11orf87
BAIAP2L2;BZW1P1;ATP11C;C13orf33
BAMBI;C10orf118;ATP1A2;C14orf37
BCAS1;C10orf35;ATP2B4;C16orf62
BCL10;C10orf47;ATP8B4;C18orf1
BCL2L1;C10orf78;ATRX;C18orf51
BCL2L14;C11orf63;AXUD1;C1QA
BCL2L15;C11orf80;B3GNT1;C1QB
BECN1;C11orf85;BAG2;C1QC
BLOC1S1;C12orf54;BAI3;C1QTNF3
BMP2;C14orf128;BBS2;C1QTNF5
BMP4;C14orf133;BBS9;C1QTNF6
BMP7;C14orf94;BCHE;C1R
BPNT1;C15orf48;BCL2L2;C1S
BTBD16;C15orf52;BCL6B;C1orf216
BTNL3;C15orf62;BCORL2;C1orf54
BTNL8;C16orf74;BDH2;C20orf103
C10orf81;C17orf60;BDKRB2;C20orf39
C11orf49;C18orf45;BEND2;C22orf9
C11orf75;C19orf33;BHLHB9;C2orf18
C11orf86;C19orf61;BHLHE22;C2orf65
C11orf9;C1orf107;BMP6;C2orf80
C12orf27;C1orf58;BMX;C3orf58
C12orf28;C1orf66;BNIP3L;C3orf59
C12orf36;C1orf97;BOC;C4orf18
C14orf129;C20orf111;BTC;C5AR1
C17orf28;C20orf112;C10orf10;C5orf13
C17orf76;C22orf41;C10orf116;C5orf23
C17orf78;C2orf54;C10orf140;C5orf46
C19orf21;C3orf52;C10orf58;C7orf10
C19orf69;C4orf26;C10orf82;C8orf48
C1GALT1;C6orf141;C11orf67;C9orf109
C1orf106;C6orf15;C14orf28;CABYR
C1orf116;C6orf195;C16orf45;CACNA2D3
C1orf125;C7orf20;C16orf89;CACNA2D4
C1orf172;C8orf75;C17orf57;CACNB4
C1orf210;C9orf128;C17orf91;CALD1
C1orf225;C9orf6;C18orf34;CALU
C1orf49;CALB2;C1QTNF1;CAPG
C1orf81;CALML5;C1QTNF2;CBARA1
C1orf93;CAMSAP1;C1orf123;CCDC109B
C20orf54;CAPN14;C1orf133;CCDC74B
C21orf129;CAPN2;C1orf190;CCDC8
C2orf61;CAPNS2;C1orf198;CCDC80
C3orf32;CAPS;C1orf70;CCDC89
C3orf53;CARD18;C1orf71;CCL11
C3orf57;CASD1;C20orf108;CCL13
C4orf19;CATSPER1;C20orf194;CCL17
C5orf30;CAV2;C21orf122;CCL18
C5orf32;CCBL1;C21orf34;CCL2
C6orf105;CCDC24;C21orf57;CCL26
C6orf223;CCDC6;C21orf82;CCL7
C7orf46;CCL20;C2CD2;CCL8
C8orf55;CCNG2;C2orf40;CCR1
C9orf125;CCNL2;C3orf18;CD14
C9orf140;CD109;C3orf70;CD163
C9orf167;CD163L1;C4orf12;CD1A
C9orf57;CD2AP;C4orf3;CD200
CA13;CD46;C4orf32;CD248
CA2;CD58;C4orf49;CD276
CA9;CDA;C5orf4;CD300C
CABLES1;CDCP1;C6orf168;CD300LF
CABLES2;CDH3;C6orf225;CD33
CALHM3;CDK6;C6orf35;CD68
CALML4;CDKN2A;C6orf72;CD93
CAMK2N1;CDKN2B;C7;CDGAP
CANT1;CELSR1;C7orf58;CDH11
CAPN12;CGB;C7orf63;CDH6
CAPN5;CHIC2;C8orf44;CDK2AP1
CAPN8;CHKA;C8orf46;CDYL2
CAPN9;CHMP4B;C8orf84;CEBPB
CARD10;CHMP4C;C9orf119;CEP170
CARD14;CHRNA5;C9orf47;CH25H
CARD6;CHST6;C9orf9;CHIT1
