Run	GSM	ExpID	Age
SRR7424153	GSM3214424	T0_A11.S81	before treatment
SRR7424154	GSM3214425	T0_A12.S89	before treatment
SRR7424155	GSM3214426	T0_A1.S1	before treatment
SRR7424156	GSM3214427	T0_A2.S9	before treatment
SRR7424159	GSM3214430	T0_A5.S33	before treatment
SRR7424160	GSM3214431	T0_A6.S41	before treatment
SRR7424161	GSM3214432	T0_A7.S49	before treatment
SRR7424162	GSM3214433	T0_A8.S57	before treatment
SRR7424163	GSM3214434	T0_A9.S65	before treatment
SRR7424164	GSM3214435	T0_B10.S74	before treatment
SRR7424165	GSM3214436	T0_B11.S82	before treatment
SRR7424166	GSM3214437	T0_B12.S90	before treatment
SRR7424167	GSM3214438	T0_B1.S2	before treatment
SRR7424168	GSM3214439	T0_B2.S10	before treatment
SRR7424170	GSM3214441	T0_B4.S26	before treatment
SRR7424172	GSM3214443	T0_B6.S42	before treatment
SRR7424173	GSM3214444	T0_B7.S50	before treatment
SRR7424174	GSM3214445	T0_B8.S58	before treatment
SRR7424175	GSM3214446	T0_B9.S66	before treatment
SRR7424176	GSM3214447	T0_C10.S75	before treatment
SRR7424177	GSM3214448	T0_C11.S83	before treatment
SRR7424178	GSM3214449	T0_C12.S91	before treatment
SRR7424179	GSM3214450	T0_C1.S3	before treatment
SRR7424180	GSM3214451	T0_C2.S11	before treatment
SRR7424181	GSM3214452	T0_C3.S19	before treatment
SRR7424182	GSM3214453	T0_C4.S27	before treatment
SRR7424183	GSM3214454	T0_C5.S35	before treatment
SRR7424184	GSM3214455	T0_C6.S43	before treatment
SRR7424185	GSM3214456	T0_C7.S51	before treatment
SRR7424186	GSM3214457	T0_C8.S59	before treatment
SRR7424187	GSM3214458	T0_C9.S67	before treatment
SRR7424188	GSM3214459	T0_D10.S76	before treatment
SRR7424190	GSM3214461	T0_D12.S92	before treatment
SRR7424191	GSM3214462	T0_D1.S4	before treatment
SRR7424192	GSM3214463	T0_D2.S12	before treatment
SRR7424193	GSM3214464	T0_D3.S20	before treatment
SRR7424194	GSM3214465	T0_D4.S28	before treatment
SRR7424195	GSM3214466	T0_D5.S36	before treatment
SRR7424196	GSM3214467	T0_D6.S44	before treatment
SRR7424197	GSM3214468	T0_D7.S52	before treatment
SRR7424198	GSM3214469	T0_D8.S60	before treatment
SRR7424199	GSM3214470	T0_D9.S68	before treatment
SRR7424200	GSM3214471	T0_E10.S77	before treatment
SRR7424201	GSM3214472	T0_E11.S85	before treatment
SRR7424203	GSM3214474	T0_E1.S5	before treatment
SRR7424204	GSM3214475	T0_E2.S13	before treatment
SRR7424205	GSM3214476	T0_E3.S21	before treatment
SRR7424206	GSM3214477	T0_E4.S29	before treatment
SRR7424207	GSM3214478	T0_E5.S37	before treatment
SRR7424208	GSM3214479	T0_E6.S45	before treatment
SRR7424210	GSM3214481	T0_E8.S61	before treatment
SRR7424211	GSM3214482	T0_E9.S69	before treatment
SRR7424212	GSM3214483	T0_F11.S86	before treatment
SRR7424213	GSM3214484	T0_F12.S94	before treatment
SRR7424214	GSM3214485	T0_F1.S6	before treatment
SRR7424215	GSM3214486	T0_F2.S14	before treatment
SRR7424216	GSM3214487	T0_F3.S22	before treatment
SRR7424217	GSM3214488	T0_F4.S30	before treatment
SRR7424218	GSM3214489	T0_F5.S38	before treatment
SRR7424219	GSM3214490	T0_F6.S46	before treatment
SRR7424220	GSM3214491	T0_F7.S54	before treatment
SRR7424221	GSM3214492	T0_F8.S62	before treatment
SRR7424222	GSM3214493	T0_G10.S79	before treatment
SRR7424223	GSM3214494	T0_G11.S87	before treatment
SRR7424224	GSM3214495	T0_G12.S95	before treatment
SRR7424226	GSM3214497	T0_G2.S15	before treatment
SRR7424227	GSM3214498	T0_G3.S23	before treatment
SRR7424228	GSM3214499	T0_G4.S31	before treatment
SRR7424229	GSM3214500	T0_G5.S39	before treatment
SRR7424230	GSM3214501	T0_G6.S47	before treatment
SRR7424232	GSM3214503	T0_G8.S63	before treatment
SRR7424233	GSM3214504	T0_G9.S71	before treatment
SRR7424234	GSM3214505	T0_H10.S80	before treatment
SRR7424235	GSM3214506	T0_H11.S88	before treatment
SRR7424237	GSM3214508	T0_H1.S8	before treatment
SRR7424238	GSM3214509	T0_H2.S16	before treatment
SRR7424239	GSM3214510	T0_H3.S24	before treatment
SRR7424240	GSM3214511	T0_H4.S32	before treatment
SRR7424241	GSM3214512	T0_H6.S48	before treatment
SRR7424242	GSM3214513	T0_H7.S56	before treatment
SRR7424243	GSM3214514	T0_H8.S64	before treatment
SRR7424244	GSM3214515	T0_H9.S72	before treatment
SRR7424245	GSM3214516	T0_A10.S361	before treatment
SRR7424246	GSM3214517	T0_A1.S289	before treatment
SRR7424247	GSM3214518	T0_A2.S297	before treatment
SRR7424248	GSM3214519	T0_A3.S305	before treatment
SRR7424249	GSM3214520	T0_A4.S313	before treatment
SRR7424251	GSM3214522	T0_A6.S329	before treatment
SRR7424252	GSM3214523	T0_A8.S345	before treatment
SRR7424255	GSM3214526	T0_B11.S370	before treatment
SRR7424257	GSM3214528	T0_B1.S290	before treatment
SRR7424258	GSM3214529	T0_B2.S298	before treatment
SRR7424259	GSM3214530	T0_B3.S306	before treatment
SRR7424260	GSM3214531	T0_B4.S314	before treatment
SRR7424261	GSM3214532	T0_B5.S322	before treatment
SRR7424262	GSM3214533	T0_B6.S330	before treatment
SRR7424265	GSM3214536	T0_B9.S354	before treatment
SRR7424266	GSM3214537	T0_C10.S363	before treatment
SRR7424267	GSM3214538	T0_C11.S371	before treatment
SRR7424268	GSM3214539	T0_C1.S291	before treatment
SRR7424269	GSM3214540	T0_C2.S299	before treatment
SRR7424270	GSM3214541	T0_C3.S307	before treatment
SRR7424271	GSM3214542	T0_C4.S315	before treatment
SRR7424272	GSM3214543	T0_C6.S331	before treatment
SRR7424273	GSM3214544	T0_C7.S339	before treatment
SRR7424274	GSM3214545	T0_C8.S347	before treatment
SRR7424275	GSM3214546	T0_C9.S355	before treatment
SRR7424277	GSM3214548	T0_D11.S372	before treatment
SRR7424278	GSM3214549	T0_D1.S292	before treatment
SRR7424279	GSM3214550	T0_D2.S300	before treatment
SRR7424280	GSM3214551	T0_D3.S308	before treatment
SRR7424281	GSM3214552	T0_D4.S316	before treatment
SRR7424282	GSM3214553	T0_D5.S324	before treatment
SRR7424284	GSM3214555	T0_D7.S340	before treatment
SRR7424285	GSM3214556	T0_D8.S348	before treatment
SRR7424286	GSM3214557	T0_E10.S365	before treatment
SRR7424287	GSM3214558	T0_E11.S373	before treatment
SRR7424288	GSM3214559	T0_E1.S293	before treatment
SRR7424289	GSM3214560	T0_E2.S301	before treatment
SRR7424290	GSM3214561	T0_E3.S309	before treatment
SRR7424292	GSM3214563	T0_E5.S325	before treatment
SRR7424293	GSM3214564	T0_E6.S333	before treatment
SRR7424294	GSM3214565	T0_E7.S341	before treatment
